,Text,Emotion
6270,i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger
6271,im working with right now and im feeling a lot more optimistic about this pattern,joy
6272,i hurtled through the first chapters desperate to see what was so good about it but came away feeling disappointed,sadness
6273,i sing i swim this feels like a pleasant passing of time song,joy
6274,i feel like the people who cause pain go through life without issue and the people burdened by pain the ones who are strong enough to deal are the ones who become depressed and jaded,sadness
6275,i feel it captures the peaceful serenity which is so relaxing and inviting here in pines lake,joy
6277,i can feel an unpleasant pressure from it,sadness
6278,i am from new jersey and this first drink was consumed at a post prom party so i feel it s appropriately lame,sadness
6279,i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness,sadness
6280,i can t get past is that feeling when a friend walks out of your life and you re unsure why that feeling of not being valued or important enough,fear
6281,i feel and im irritated by it,anger
6282,i have lately been feeling very productive with my time at home and happy with my life in general and happy with my children and my husband,joy
6283,i often feel like im drowning as i try to come up with valuable content and write engaging posts,joy
6284,i swamp uncaring unfeeling fucked up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you,anger
6285,i pollution flower dew moisturising gel cream delicate luxurious and feels lovely on the skin,love
6286,i blush because i feel guilty about asking for something so costly for being worldly,sadness
6287,i know in advance then i am fine with it but if i make plans and they change or fall through i end up not knowing what to do with myself and feeling very restless and angsty,fear
6288,i feel deer supporting mice parade at the hope rel bookmark permalink,joy
6290,i feel like a very useful engine mother those of you who have watched thomas will understand,joy
6291,i started to feel apprehensive about it,fear
6292,i was on to stop labor made me feel terrible,sadness
6293,i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,sadness
6294,i am torn about the situation because it happens a lot but they have supported me and i feel like i should be supporting her again now,love
6297,i feel more grounded and less fearful,fear
6299,im feeling pretty smart,joy
6300,im feeling so pissed off now,anger
6301,ill admit to feeling a little paranoid and wondering about how many others had defriended me,fear
6302,i dont forget it i embrace it i dont feel pity i feel proud,joy
